トピック,Phi,単語
14,0.0824542607549059,１
6,0.00698082710957538,万
6,0.0209146137554344,人
6,0.0459954297179807,に
14,0.0824542607549059,１
6,0.0209146137554344,人
10,0.0118427457016186,から
0,0.0378773540266875,２
6,0.00698082710957538,万
6,0.012554341767919,５
6,0.00280069111581767,千
6,0.0209146137554344,人
6,0.0459954297179807,に
14,0.0824542607549059,１
6,0.0209146137554344,人
6,0.104517333630589,の
14,0.0247651227954515,割合
6,0.0459954297179807,に
2,0.00355086825217067,なる
6,0.0655027310221834,。
10,0.00197653156530764,この
2,0.0082696300490752,うち
6,0.110090848288932,、
6,0.00837420577416129,運動
14,0.00828251194989309,障害
6,0.0320616430721217,が
14,0.00828251194989309,残る
17,0.0817802844531653,など
14,0.00828251194989309,重
14,0.00828251194989309,篤
6,0.0696828670159411,と
2,0.0401212721781808,さ
2,0.0932073423933569,れ
6,0.0794365176680424,た
14,0.00828251194989309,ケース
2,0.0259649867874672,も
14,0.0824542607549059,１
14,0.0948162188890747,０
14,0.0330064282182307,６
14,0.0618509971979579,件
2,0.0082696300490752,あっ
6,0.0794365176680424,た
6,0.0655027310221834,。
0,0.104121321093973,　
6,0.00280069111581767,同省
10,0.0641336806240669,に
0,0.0355114980599987,よる
6,0.0696828670159411,と
10,0.0878125945512133,、
14,0.0165238173726723,製薬
14,0.0371270809296203,会社
6,0.104517333630589,の
14,0.00828251194989309,グラクソ・スミスクライン
14,0.0330064282182307,製造
6,0.104517333630589,の
14,0.0247651227954515,ワクチン
10,0.038810397674202,で
6,0.0529623230409102,は
6,0.110090848288932,、
14,0.0288857755068411,医療
6,0.0167344777616767,機関
10,0.0118427457016186,から
0,0.0236822182265547,１
14,0.0948162188890747,０
14,0.0948162188890747,０
14,0.0824542607549059,１
14,0.0618509971979579,件
6,0.110090848288932,、
14,0.0330064282182307,製造
14,0.0247651227954515,販売
14,0.0371270809296203,会社
10,0.0118427457016186,から
10,0.000661036347132836,７
14,0.0948162188890747,０
10,0.00822513385163793,４
14,0.0618509971979579,件
10,0.0878125945512133,、
2,0.00355086825217067,別
10,0.0825506136785141,の
14,0.0165238173726723,製薬
10,0.00723851243800683,会社
6,0.110090848288932,、
14,0.00828251194989309,ＭＳＤ
14,0.0330064282182307,製造
2,0.108543318233297,の
14,0.0247651227954515,ワクチン
6,0.0529623230409102,は
6,0.110090848288932,、
14,0.0288857755068411,医療
7,0.0106174539292524,機関
10,0.0118427457016186,から
14,0.0824542607549059,１
14,0.0247651227954515,９
6,0.012554341767919,５
14,0.0618509971979579,件
6,0.110090848288932,、
14,0.0330064282182307,製造
14,0.0247651227954515,販売
10,0.00723851243800683,会社
6,0.0250947497491921,から
14,0.0330064282182307,６
6,0.00837420577416129,８
14,0.0618509971979579,件
10,0.0825506136785141,の
14,0.0494890390637891,報告
6,0.0320616430721217,が
2,0.0082696300490752,あっ
6,0.0794365176680424,た
6,0.0655027310221834,。
14,0.0412477336410099,接種
10,0.0161181051606867,者
14,0.0165238173726723,数
6,0.00558744844498948,に対する
14,0.0494890390637891,報告
10,0.0825506136785141,の
14,0.0247651227954515,割合
7,0.113879474687567,は
14,0.0948162188890747,０
6,0.0167344777616767,・
14,0.0948162188890747,０
14,0.0948162188890747,０
6,0.00976758443874719,４
0,0.0165846503264884,～
14,0.0948162188890747,０
6,0.0167344777616767,・
14,0.0948162188890747,０
14,0.0824542607549059,１
10,0.00822513385163793,４
6,0.00280069111581767,％
10,0.0424280095241827,。
2,0.00355086825217067,これ
2,0.0047305587013968,まで
14,0.0494890390637891,報告
2,0.0401212721781808,さ
2,0.0932073423933569,れ
10,0.0121716195061623,て
2,0.0542775575688945,い
6,0.0794365176680424,た
14,0.0247651227954515,割合
6,0.0696828670159411,と
6,0.110090848288932,、
6,0.00280069111581767,違い
19,0.1702873876328,は
